Nome;Celular Smartphone LG X CAM K580 Rosê - Dual Chip, 4G, Tela Full HD 5,2", Dual Câmera 13MP/5MP + Frontal 8MP, Octa-core, 2GB RAM, 16 GB, Android 6.0
Preco;799,90
Diferencial;Câmera Dupla com Ângulo Grande de 120°
Modelo;K580
Marca;LG
Cor;Rose Gold
Tamanho da Tela;5.2
Resolução de Tela;FHD (1920 x 1080)
Megapixels da Câmera Traseira;13 MP
Flash Traseiro;Sim
Megapixels da Câmera Frontal;8 MP
Flash Frontal;Não
Resolução do Video;H263, MPEG4(SP/ASP), H.264(BP/MP/HP), HEVC(MP), VP8/9, XviD, Theora, Motion-JPEG
Processador;Octa Core 1.1 GHz
Memória Interna;16 GB
Memória Expansível Até;2TB
Memória RAM;2 GB
Versão;Android Marshmallow 6.0.1
Bateria;2520 mAh
Capacidade de Chip;Dual Chip
Possui TV?;Não
Conexão Internet;4G
Tipo de Câmera;Frontal e Traseira
Altura;148 cm
Largura;74 cm
Comprimento;7 cm
Peso;120 g
Garantia;12 meses



Nome;Smartphone Samsung Galaxy J2 Prime G532 Rosa - TV Digital, Dual Chip, 4G, Tela 5", Câmera 8MP + 5MP com flash frontal, Quad Core 1.4Ghz, 8GB
Preco;649,00
Diferencial;Flash frontal
Modelo;SM-G532
Marca;Samsung
Cor;Rosa
Tamanho da Tela;5.0
Resolução de Tela;960x540 (qHD)
Megapixels da Câmera Traseira;8 MP
Flash Traseiro;Sim
Megapixels da Câmera Frontal;5 MP
Flash Frontal;Sim
Resolução do Video;HD(720p) @ 30fps
Processador;Quad Core 1.4Ghz
Memória Interna;8 GB
Memória Expansível Até;256 GB
Memória RAM;1,5 GB
Versão;Android 6.0
Bateria;2600 mAh
Capacidade de Chip;Dual Chip
Possui TV?;Sim
Conexão Internet;4G
Tipo de Câmera;Frontal e Traseira
Altura;0.9 cm
Largura;7.2 cm
Comprimento;14.5 cm
Peso;156 g
Garantia;12 meses



Nome;Smartphone Alcatel Pixi4 3.5' Preto OT4017 - Dual Chip, 3G, Tela 3.5', Câmera 5MP com flash + frontal 1.3MP, Dual Core, 4GB Memória, Android 5.1
Preco;229,90
Modelo;OT4017
Marca;Alcatel
Cor;Preto
Tamanho da Tela;3.5
Resolução de Tela;TFT
Megapixels da Câmera Traseira;5 MP
Flash Traseiro;Sim
Megapixels da Câmera Frontal;1.3 MP
Flash Frontal;Não
Resolução do Video;480 x 320
Processador;Dual Core
Memória Interna;4 GB
Memória Expansível Até;32 GB
Memória RAM;512 MB
Versão;Android 5.1
Bateria;1300 mAh
Capacidade de Chip;Dual Chip
Possui TV?;Não
Conexão Internet;3G
Tipo de Câmera;Frontal e Traseira
Altura;1 cm
Largura;6.2 cm
Comprimento;11.6 cm
Peso;100 g
Garantia;12 meses



Nome;Smartphone Motorola Moto G4 PLUS XT1640 Branco - Dual Chip,Tela 5.5",Câmera 16MP+Frontal 5MP,Octa Core,32GB,2GB RAM,Android 6,Sensor impressão digital
Preco;1.099,00
Diferencial;Sensor de Impressão Digital para desbloqueio
Modelo;XT1640
Marca;Motorola
Cor;Branco
Tamanho da Tela;5.5
Resolução de Tela;Full HD - 1920x1080
Megapixels da Câmera Traseira;16 MP
Flash Traseiro;Sim
Megapixels da Câmera Frontal;5 MP
Flash Frontal;Não
Resolução do Video;1080p
Processador;4 x 1.5 GHz + 4 x 1.2 GHz Octa-core Qualcomm Snapdragon 617 (MSM8952)
Memória Interna;32 GB
Memória Expansível Até;128 GB
Memória RAM;2 GB
Versão;Android 6.0
Bateria;3000 mAh
Capacidade de Chip;Dual Chip
Possui TV?;Não
Conexão Internet;4G
Tipo de Câmera;Frontal e Traseira
Altura;0.78 cm
Largura;7.7 cm
Comprimento;15.3 cm
Peso;171 g
Garantia;12 meses



Nome;Celular Smartphone LG X CAM K580 Dourado -Dual Chip, 4G, Tela Full HD 5,2, Dual Câmera 13MP/5MP + Frontal 8MP, Octa-core, 2GB RAM, 16 GB, Android 6.0
Preco;799,90
Diferencial;Câmera Dupla com Ângulo Grande de 120°
Modelo;K580
Marca;LG
Cor;Dourado
Tamanho da Tela;5.2
Resolução de Tela;FHD (1920 x 1080)
Megapixels da Câmera Traseira;13 MP
Flash Traseiro;Sim
Megapixels da Câmera Frontal;8 MP
Flash Frontal;Não
Resolução do Video;H263, MPEG4(SP/ASP), H.264(BP/MP/HP), HEVC(MP), VP8/9, XviD, Theora, Motion-JPEG
Processador;Octa Core 1.1 GHz
Memória Interna;16 GB
Memória Expansível Até;2TB
Memória RAM;2 GB
Versão;Android Marshmallow 6.0.1
Bateria;2520 mAh
Capacidade de Chip;Dual Chip
Possui TV?;Não
Conexão Internet;4G
Tipo de Câmera;Frontal e Traseira
Altura;148 cm
Largura;74 cm
Comprimento;7 cm
Peso;120 g
Garantia;12 meses



Nome;Celular Smartphone LG K4 Branco - Dual Chip, 4G, Tela 4.5, Câmera 5 MP + Frontal 2 MP, Processador Quad Core, 8 GB, Android 5.1
Preco;499,90
Modelo;K130F
Marca;LG
Cor;Branco
Tamanho da Tela;4.5
Resolução de Tela;FWVGA(854x480)
Megapixels da Câmera Traseira;5 MP
Flash Traseiro;Sim
Megapixels da Câmera Frontal;2 MP
Flash Frontal;Não
Resolução do Video;720P (HD)
Processador;QuadCore1GHz-MediatekMT6735M
Memória Interna;8 GB
Memória Expansível Até;32 GB
Memória RAM;1 GB
Versão;Android 5.1
Bateria;1,94 mAh
Capacidade de Chip;Dual Chip
Possui TV?;Sim
Conexão Internet;4G
Tipo de Câmera;Frontal e Traseira
Altura;0.9 cm
Largura;6.7 cm
Comprimento;13.2 cm
Peso;132 g
Garantia;12 meses



Nome;Celular Smartphone Samsung Galaxy J7 Duos J700M Preto - Dual Chip, 4G, Tela 5.5 AMOLED, Câmera 13MP + Frontal 5MP Com Flash, Octa Core 1.5Ghz, 16GB
Preco;929,00
Diferencial;Câmera frontal com Flash
Modelo;J700M
Marca;Samsung
Cor;Preto
Tamanho da Tela;5.5
Resolução de Tela;720 x 1280 (HD) Super AMOLED
Megapixels da Câmera Traseira;13 MP
Flash Traseiro;Sim
Megapixels da Câmera Frontal;5 MP
Flash Frontal;Sim
Resolução do Video;FHD (1920 x 1080) @30fps
Processador;Octa Core 1.6 GHz
Memória Interna;16 GB
Memória Expansível Até;128 GB
Memória RAM;1,5 GB
Versão;Android
Bateria;3000 mAh
Capacidade de Chip;Dual Chip
Possui TV?;Não
Conexão Internet;4G
Tipo de Câmera;Frontal e Traseira
Altura;15.2 cm
Largura;7.86 cm
Comprimento;75 cm
Peso;128 g
Garantia;12 meses



Nome;Smartphone Samsung Galaxy A5 2016 Duos A510M Preto - Dual Chip, 4G, tela 5.2, Câmera 13 MP + Frontal 5 MP, Octa Core 1.6 Ghz, 16 GB, 2GB RAM, Android
Preco;1.199,00
Modelo;SM-A510M/DS
Marca;Samsung
Cor;Preto
Tamanho da Tela;5.2
Resolução de Tela;Super AMOLED
Megapixels da Câmera Traseira;13 MP
Flash Traseiro;Sim
Megapixels da Câmera Frontal;5 MP
Flash Frontal;Não
Resolução do Video;FHD
Processador;Octa-Core 1.6GHz
Memória Interna;16 GB
Memória Expansível Até;128 GB
Memória RAM;2 GB
Versão;Android 5.1
Bateria;2900 mAh
Capacidade de Chip;Dual Chip
Possui TV?;Não
Conexão Internet;4G
